date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:21	37880/37880	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Jul%202025%2021:47:19%20GMT	https://merchant.mypos.com/it/login	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/it/login.html	(from )
23:47:22	79/79	---MCZ	200	added ('OK')	text/plain	date:Sat,%2026%20Jul%202025%2021:47:22%20GMT	https://merchant.mypos.com/robots.txt		(from )
23:47:22	46784/46784	---M-Z	200	added ('OK')	text/css	etag:%22b6c0-63aa6115adfee-gzip%22	https://merchant.mypos.com/build/22232.0384ece1.css	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/22232.0384ece1.css	(from https://merchant.mypos.com/it/login)
23:47:22	15789/15789	---M-Z	200	added ('OK')	text/css	etag:%223dad-63aa6115c7639-gzip%22	https://merchant.mypos.com/build/91402.b8da3824.css	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/91402.b8da3824.css	(from https://merchant.mypos.com/it/login)
23:47:26	1301309/1301309	---MCZ	200	added ('OK')	text/css	etag:%2213db3d-63aa610f467dd-gzip%22	https://merchant.mypos.com/build/22441.e4134377.css	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/22441.e4134377.css	(from https://merchant.mypos.com/it/login)
23:47:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2026%20Jul%202025%2021:47:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Mie%20pagine%20Web/mypos/www.googletagmanager.com/gtm.45445.delayed	(from https://merchant.mypos.com/it/login)
23:47:27	6473/6473	---M--	200	added ('OK')	image/png	etag:%221949-63aa6115ec808%22	https://merchant.mypos.com/build/account/images/logo-header-alt.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/account/images/logo-header-alt.png	(from https://merchant.mypos.com/it/login)
23:47:27	48298/48298	---M--	200	added ('OK')	image/png	etag:%22bcaa-63aa610f92abc%22	https://merchant.mypos.com/build/account/images/login/login_aside_image_app.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/account/images/login/login_aside_image_app.png	(from https://merchant.mypos.com/it/login)
23:47:27	18726/18726	---M--	200	added ('OK')	image/png	etag:%224926-63aa610a20853%22	https://merchant.mypos.com/build/account/images/download_options/download-app-store.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/account/images/download_options/download-app-store.png	(from https://merchant.mypos.com/it/login)
23:47:27	22081/22081	---M--	200	added ('OK')	image/png	etag:%225641-63aa610a20853%22	https://merchant.mypos.com/build/account/images/download_options/download-google-play.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/account/images/download_options/download-google-play.png	(from https://merchant.mypos.com/it/login)
23:47:27	16423/16423	---M--	200	added ('OK')	image/png	etag:%224027-63aa610f7f234%22	https://merchant.mypos.com/build/account/images/download_options/app-gallery-store.png	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/build/account/images/download_options/app-gallery-store.png	(from https://merchant.mypos.com/it/login)
23:47:28	804/804	---MC-	302	error ('Found')	text/html	date:Sat,%2026%20Jul%202025%2021:47:28%20GMT	https://merchant.mypos.com/it/enroll	C:/Mie%20pagine%20Web/mypos/merchant.mypos.com/it/enroll	(from https://merchant.mypos.com/it/login)
